area,square_ft,price,bedrooms,pricepersq_ft,status,bathrooms,age_of_property
Sholinganallur,1245,5913000,2,4750,unfurnished,2,2
Perumbakkam,1371,5479000,3,3997,unfurnished,2,3
Sholinganallur,1035,5000000,2,4830,unfurnished,2,0
Sholinganallur,1029,6000000,2,5830,unfurnished,2,0
Sholinganallur,1490,7372000,3,4948,unfurnished,3,4
Sholinganallur,1200,6500000,2,5416,unfurnished,3,13
Sholinganallur,1237,7200000,2,5820,semifurnished,2,3
Sholinganallur,1063,5886000,2,5537,unfurnished,2,6
Sholinganallur,1405,8356000,3,5947,unfurnished,3,0
Sholinganallur,1192,7223000,2,6060,unfurnished,2,4
Sholinganallur,1103,6400000,2,5802,unfurnished,2,1
Sholinganallur,1134,7200000,2,6349,unfurnished,2,1
Sholinganallur,1900,9500000,3,5000,unfurnished,3,5
Sholinganallur,1478,8006000,3,5416,unfurnished,3,0
Sholinganallur,1350,8500000,3,6296,unfurnished,3,2
Sholinganallur,1489,8816000,3,5920,unfurnished,3,0
Sholinganallur,1004,5800000,2,5776,unfurnished,1,1
Sholinganallur,887,5887000,2,6638,unfurnished,1,0
Sholinganallur,1255,5980000,2,4764,unfurnished,2,0
Sholinganallur,525,2414000,1,4598,semifurnished,1,2
Sholinganallur,2322,9750000,4,4199,unfurnished,4,0
Sholinganallur,599,3800000,1,6343,unfurnished,1,3
Sholinganallur,594,4600000,1,7744,semifurnished,1,4
Sholinganallur,607,4900000,1,8072,semifurnished,1,4
Sholinganallur,390,3055000,1,7833,unfurnished,1,5
Sholinganallur,611,4800000,1,7855,semifurnished,1,3
Sholinganallur,444,1900000,1,4279,unfurnished,1,8
Sholinganallur,594,5400000,1,9090,semifurnished,1,5
Sholinganallur,1242,7229000,2,5820,semifurnished,2,3
Sholinganallur,1357,8375000,2,6171,unfurnished,2,4
Sholinganallur,1612,7735000,3,4799,unfurnished,3,0
Sholinganallur,1444,8303000,3,5750,unfurnished,3,2
Sholinganallur,604,3371000,1,5582,unfurnished,1,0
Sholinganallur,604,3831000,1,6343,unfurnished,1,0
Sholinganallur,1371,5800000,3,4230,unfurnished,3,5
Sholinganallur,1113,6109000,2,5561,unfurnished,2,1
Sholinganallur,1443,7503000,3,5200,unfurnished,2,3
Perumbakkam,1833,10000000,3,5500,unfurnished,2,1
Sholinganallur,1640,7542000,3,4599,unfurnished,3,3
Sholinganallur,1336,1020000,3,8982,furnished,2,4
Sholinganallur,1929,9500000,3,4924,semifurnished,3,10
Sholinganallur,1237,6123000,1,4950,unfurnished,2,1
Sholinganallur,1450,5500000,2,3793,unfurnished,2,5
Sholinganallur,1076,6945000,3,6454,unfurnished,1,7
Sholinganallur,2417,8942000,4,3700,unfurnished,4,2
Poonamallee,740,3256000,2,4400,unfurnished,2,0
Karayanchavadi,933,3000000,2,3215,unfurnished,2,8
Poonamallee,2000,9900000,2,4400,semifurnished,3,4
Karayanchavadi,1200,3500000,2,2916,unfurnished,2,9
Poonamallee,1447,6200000,3,4284,semifurnished,2,4
Poonamallee,1290,4300000,2,3333,unfurnished,3,0
Poonamallee,1510,7910000,3,5238,unfurnished,3,4
Poonamallee,950,5668000,2,5966,unfurnished,2,0
Poonamallee,611,2748000,1,4499,semifurnished,1,11
Poonamallee,932,2700000,2,2896,semifurnished,2,5
Poonamallee,1600,7900000,3,4937,semifurnished,3,3
Poonamallee,1170,4725000,2,4038,unfurnished,2,11
Poonamallee,576,2950000,1,5121,unfurnished,1,0
Poonamallee,1637,8839000,3,5400,unfurnished,3,1
Poonamallee,1386,7598000,2,5481,unfurnished,2,0
Poonamallee,955,3850000,2,4031,unfurnished,2,3
Poonamallee,843,3690000,2,4377,unfurnished,2,1
Poonamallee,1550,5500000,3,3548,unfurnished,3,2
Poonamallee,1600,9443000,3,5901,unfurnished,3,3
Poonamallee,776,3500000,2,4510,unfurnished,2,3
Poonamallee,500,2400000,1,4800,semifurnished,2,2
Poonamallee,650,3420000,2,5261,unfurnished,2,3
Poonamallee,558,2950000,2,5286,unfurnished,2,0
Poonamallee,600,2910000,2,4916,unfurnished,2,1
Poonamallee,3050,9500000,7,3114,unfurnished,6,8
Poonamallee,679,2800000,2,4123,unfurnished,1,2
Poonamallee,600,1500000,1,2500,unfurnished,1,7
Poonamallee,1559,6392000,3,4100,unfurnished,3,6
Poonamallee,700,4500000,2,6428,unfurnished,1,0
Poonamallee,1116,5870000,2,5259,unfurnished,2,4
Poonamallee,1093,5390000,2,4931,unfurnished,2,4
Poonamallee,700,3260000,2,4657,unfurnished,2,0
Poonamallee,1491,7830000,3,5251,unfurnished,3,4
Poonamallee,1737,8920000,3,5135,unfurnished,3,4
Poonamallee,1080,5340000,2,4944,unfurnished,3,4
Poonamallee,1077,5320000,2,4939,unfurnished,2,4
Poonamallee,1086,5360000,2,4935,unfurnished,2,4
Poonamallee,1722,8850000,3,5139,unfurnished,3,4
Poonamallee,650,3962000,2,6095,unfurnished,2,5
Poonamallee,450,2163000,1,4806,semifurnished,1,0
Poonamallee,398,1945000,1,4866,semifurnished,1,1
Poonamallee,480,2330000,1,4854,semifurnished,1,0
Poonamallee,470,2320000,1,4936,semifurnished,1,0
Poonamallee,427,2020000,1,4730,semifurnished,1,3
Poonamallee,1688,8710000,3,5159,unfurnished,3,4
Poonamallee,2067,11000000,3,5321,unfurnished,3,4
Poonamallee,1316,7681000,2,5837,unfurnished,2,5
Poonamallee,1373,8014000,2,5837,unfurnished,2,5
Poonamallee,425,1976000,1,4650,semifurnished,1,3
Poonamallee,1490,7820000,3,5248,unfurnished,3,4
Poonamallee,700,3418000,2,4882,unfurnished,2,3
Poonamallee,550,2800000,2,5090,unfurnished,2,13
Poonamallee,1200,6500000,2,5416,unfurnished,2,6
Poonamallee,803,3600000,2,4483,unfurnished,2,7
Poonamallee,877,3725000,2,4247,semifurnished,2,6
Poonamallee,2650,12000000,4,4528,unfurnished,4,6
Poonamallee,800,4500000,2,5625,unfurnished,2,3
Poonamallee,550,2900000,2,5272,unfurnished,1,8
Poonamallee,580,2870000,2,4948,unfurnished,2,0
Poonamallee,1327,8000000,2,6028,semifurnished,2,5
Poonamallee,800,4500000,2,4928,unfurnished,2,2
Poonamallee,913,3382000,2,4227,unfurnished,2,3
Poonamallee,800,3382000,2,4227,unfurnished,2,4
Poonamallee,420,2020000,1,4809,semifurnished,1,0
Poonamallee,4000,13300000,8,3333,unfurnished,8,1
Poonamallee,850,3442000,2,4050,unfurnished,2,7
Poonamallee,630,2950000,2,4682,semifurnished,2,4
Poonamallee,1580,9222000,3,5837,unfurnished,3,5
Poonamallee,1545,9018000,2,5837,unfurnished,3,5
Poonamallee,1525,8901000,2,5837,unfurnished,3,5
Poonamallee,4178,18000000,10,4308,unfurnished,9,0
Poonamallee,1107,5460000,2,4932,unfurnished,2,4
Poonamallee,1000,2500000,2,2500,unfurnished,2,3
Poonamallee,950,4749000,2,4999,unfurnished,2,5
Poonamallee,1050,9000000,2,8571,unfurnished,2,12
Nungambakkam,1030,2250000,2,2184,unfurnished,2,3
Kattankulathur,925,6000000,2,6486,semifurnished,2,2
Nungambakkam,2149,40800000,3,19000,unfurnished,3,1
Nungambakkam,1050,9000000,2,8571,unfurnished,2,12
Nungambakkam,925,6000000,2,6486,semifurnished,2,2
Nungambakkam,770,4100000,2,5324,semifurnished,2,4
Nungambakkam,400,2000000,1,5000,unfurnished,1,5
Nungambakkam,1420,21800000,3,15352,semifurnished,3,2
Nungambakkam,1581,19000000,2,12017,unfurnished,2,6
Nungambakkam,2256,22500000,3,9960,semifurnished,3,7
Nungambakkam,2074,41400000,3,20000,unfurnished,3,3
Nungambakkam,1495,27600000,2,18472,unfurnished,2,1
Nungambakkam,2074,38300000,3,18466,unfurnished,3,0
Nungambakkam,1823,27300000,3,14975,unfurnished,2,3
Nungambakkam,2000,22500000,3,11250,semifurnished,3,5
Nungambakkam,1500,12000000,3,8000,semifurnished,2,10
Nungambakkam,2081,41000000,3,19702,unfurnished,4,4
Nungambakkam,2208,28500000,3,12907,furnished,3,12
Nungambakkam,1425,28500000,3,20013,unfurnished,3,2
Nungambakkam,1232,22600000,2,18363,unfurnished,2,1
Nungambakkam,907,29600000,2,32672,unfurnished,2,3
Nungambakkam,1400,16000000,2,11428,semifurnished,2,5
Nungambakkam,1088,39500000,3,36321,unfurnished,3,1
Nungambakkam,1800,14000000,3,7777,unfurnished,3,0
Nungambakkam,1180,13000000,2,11016,semifurnished,2,4
Nungambakkam,1990,35600000,3,17890,unfurnished,3,1
Nungambakkam,1710,35500000,3,20760,furnished,3,2
Nungambakkam,550,4400000,1,8000,semifurnished,1,4
Nungambakkam,1350,15800000,3,11703,unfurnished,2,5
Nungambakkam,1850,23000000,3,12432,unfurnished,3,6
Nungambakkam,800,6000000,2,7500,semifurnished,2,2
Nungambakkam,1431,21300000,3,14947,unfurnished,3,5
Nungambakkam,1723,31200000,3,18162,unfurnished,3,1
Nungambakkam,2056,40000000,3,19455,unfurnished,3,4
Nungambakkam,2056,43200000,3,21011,semifurnished,1,4
Nungambakkam,2200,22500000,3,10227,furnished,3,2
Nungambakkam,1404,22500000,3,16025,unfurnished,3,13
Nungambakkam,1177,11800000,2,10025,semifurnished,2,5
Nungambakkam,1344,17000000,2,12648,semifurnished,3,6
Nungambakkam,1154,15000000,2,12998,unfurnished,2,0
Nungambakkam,2056,50200000,3,24416,semifurnished,6,13
Nungambakkam,1500,24000000,3,16000,unfurnished,3,5
Nungambakkam,2642,44300000,3,16767,unfurnished,3,12
Nungambakkam,1700,16800000,3,9882,semifurnished,3,3
Nungambakkam,1210,9500000,3,7851,unfurnished,2,11
Nungambakkam,1287,17300000,3,13442,unfurnished,3,0
Nungambakkam,1738,36000000,3,20760,unfurnished,3,1
Nungambakkam,6000,86000000,6,14333,furnished,6,1
Nungambakkam,2149,44600000,3,20753,semifurnished,2,0
Nungambakkam,2307,29900000,3,12960,semifurnished,2,3
Nungambakkam,909,5500000,2,6050,furnished,2,1
Kodambakkam,810,7000000,2,8641,semifurnished,2,8
Kodambakkam,920,6700000,2,7282,semifurnished,2,15
Kodambakkam,1230,11000000,2,8943,semifurnished,2,6
Kodambakkam,900,6700000,2,7444,semifurnished,2,0
Kodambakkam,1756,33200000,3,18906,unfurnished,2,0
Alwarpet,710,5500000,2,7746,semifurnished,1,1
Kodambakkam,1200,13500000,3,11250,semifurnished,2,1
Kodambakkam,846,7600000,2,8983,semifurnished,2,1
Kodambakkam,985,12000000,2,12182,semifurnished,2,2
Kodambakkam,1610,16100000,3,10000,unfurnished,3,3
Kodambakkam,540,4100000,1,7592,semifurnished,1,6
Kodambakkam,981,12500000,2,12742,unfurnished,2,0
